886	CCKAR	cholecystokinin A receptor	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
2865	FFAR3	free fatty acid receptor 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
680	BRS3	bombesin-like receptor 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
155	ADRB3	adrenergic, beta-3-, receptor	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
6870	TACR3	tachykinin receptor 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
553	AVPR1B	arginine vasopressin receptor 1B	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
4159	MC3R	melanocortin 3 receptor	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
5540	PPYR1	pancreatic polypeptide receptor 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
4544	MTNR1B	melatonin receptor 1B	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY			GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
2558	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
2741	GLRA1	glycine receptor, alpha 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
2779	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION			GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
346562	GNAT3	guanine nucleotide binding protein, alpha transducing 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION			GO_SIGNAL_TRANSDUCER_ACTIVITY		
4308	TRPM1	transient receptor potential cation channel, subfamily M, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5173	PDYN	prodynorphin	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					REACTOME_GPCR_DOWNSTREAM_SIGNALING
5132	PDC	phosducin	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
6247	RS1	retinoschisin 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5145	PDE6A	phosphodiesterase 6A, cGMP-specific, rod, alpha	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
6011	GRK1	G protein-coupled receptor kinase 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
594857	NPS	neuropeptide S	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_NEUROLOGICAL_SYSTEM_PROCESS						REACTOME_GPCR_DOWNSTREAM_SIGNALING
3630	INS	insulin	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY								
342372	PKD1L3	polycystic kidney disease 1-like 3	GO_SYSTEM_PROCESS		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
5024	P2RX3	purinergic receptor P2X, ligand-gated ion channel, 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55584	CHRNA9	cholinergic receptor, nicotinic, alpha 9	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1137	CHRNA4	cholinergic receptor, nicotinic, alpha 4	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
7442	TRPV1	transient receptor potential cation channel, subfamily V, member 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
2986	GUCY2F	guanylate cyclase 2F, retinal	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION		GO_RECEPTOR_ACTIVITY		ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
54714	CNGB3	cyclic nucleotide gated channel beta 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION		GO_RECEPTOR_ACTIVITY		ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1260	CNGA2	cyclic nucleotide gated channel alpha 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION		GO_RECEPTOR_ACTIVITY			
341359	SYT10	synaptotagmin X	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
6101	RP1	retinitis pigmentosa 1 (autosomal dominant)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2703	GJA8	gap junction protein, alpha 8, 50kDa	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
60506	NYX	nyctalopin	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1420	CRYGC	crystallin, gamma C	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
7299	TYR	tyrosinase (oculocutaneous albinism IA)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5456	POU3F4	POU class 3 homeobox 4	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1419	CRYGB	crystallin, gamma B	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1409	CRYAA	crystallin, alpha A	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1406	CRX	cone-rod homeobox	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
84839	RAX2	retina and anterior neural fold homeobox 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION				ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2695	GIP	gastric inhibitory polypeptide	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					REACTOME_GPCR_DOWNSTREAM_SIGNALING
3375	IAPP	islet amyloid polypeptide	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					REACTOME_GPCR_DOWNSTREAM_SIGNALING
83597	RTP3	receptor (chemosensory) transporter protein 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
344892	RTP2	receptor (chemosensory) transporter protein 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
4025	LPO	lactoperoxidase	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
132112	RTP1	receptor (chemosensory) transporter protein 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
765	CA6	carbonic anhydrase VI	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
10941	UGT2A1	UDP glucuronosyltransferase 2 family, polypeptide A1, complex locus	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
285093	C2orf85	chromosome 2 open reading frame 85	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
255022	CALHM1	calcium homeostasis modulator 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
54831	BEST2	bestrophin 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
100507003	LOC100507003	uncharacterized protein LOC100507003	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
3736	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
23746	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
222662	LHFPL5	lipoma HMGIC fusion partner-like 5	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
346007	EYS	eyes shut homolog (Drosophila)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
84694	GJA10	gap junction protein, alpha 10, 62kDa	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
117532	TMC2	transmembrane channel-like 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
125336	LOXHD1	lipoxygenase homology domains 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5957	RCVRN	recoverin	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
644168	DRGX	dorsal root ganglia homeobox	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
3753	KCNE1	potassium voltage-gated channel, Isk-related family, member 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
6336	SCN10A	sodium channel, voltage-gated, type X, alpha subunit	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
50700	RDH8	retinol dehydrogenase 8 (all-trans)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
9626	GUCA1C	guanylate cyclase activator 1C	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
3859	KRT12	keratin 12	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5459	POU4F3	POU class 4 homeobox 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
4990	SIX6	SIX homeobox 6	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
30062	RAX	retina and anterior neural fold homeobox	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
338917	VSX2	visual system homeobox 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
340990	OTOG	otogelin	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
57369	GJD2	gap junction protein, delta 2, 36kDa	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5458	POU4F2	POU class 4 homeobox 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
30813	VSX1	visual system homeobox 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
56751	BARHL1	BarH-like homeobox 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
84530	SRRM4	serine/arginine repetitive matrix 4	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
7399	USH2A	Usher syndrome 2A (autosomal recessive, mild)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
50939	IMPG2	interphotoreceptor matrix proteoglycan 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
1411	CRYBA1	crystallin, beta A1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5077	PAX3	paired box 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
7401	CLRN1	clarin 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
246213	SLC17A8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
6017	RLBP1	retinaldehyde binding protein 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
1418	CRYGA	crystallin, gamma A	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5949	RBP3	retinol binding protein 3, interstitial	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
65217	PCDH15	protocadherin-related 15	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
388551	CEACAM16	carcinoembryonic antigen-related cell adhesion molecule 16	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
56914	OTOR	otoraplin	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
1421	CRYGD	crystallin, gamma D	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
5149	PDE6H	phosphodiesterase 6H, cGMP-specific, cone, gamma	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
8403	SOX14	SRY (sex determining region Y)-box 14	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
2636	GBX1	gastrulation brain homeobox 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
94137	RP1L1	retinitis pigmentosa 1-like 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
131890	GRK7	G protein-coupled receptor kinase 7	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
388939	C2orf71	chromosome 2 open reading frame 71	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
343035	RD3	retinal degeneration 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
146183	OTOA	otoancorin	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION					
2890	GRIA1	glutamate receptor, ionotropic, AMPA 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS		GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2904	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS		GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
2895	GRID2	glutamate receptor, ionotropic, delta 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS		GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
1144	CHRND	cholinergic receptor, nicotinic, delta	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS		GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
4593	MUSK	muscle, skeletal, receptor tyrosine kinase	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS		GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		
4761	NEUROD2	neurogenic differentiation 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS					ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
10716	TBR1	T-box, brain, 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS					ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1392	CRH	corticotropin releasing hormone	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						REACTOME_GPCR_DOWNSTREAM_SIGNALING
2515	ADAM2	ADAM metallopeptidase domain 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
10369	CACNG2	calcium channel, voltage-dependent, gamma subunit 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
6547	SLC8A3	solute carrier family 8 (sodium/calcium exchanger), member 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
10368	CACNG3	calcium channel, voltage-dependent, gamma subunit 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
6323	SCN1A	sodium channel, voltage-gated, type I, alpha subunit	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
27091	CACNG5	calcium channel, voltage-dependent, gamma subunit 5	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
59284	CACNG7	calcium channel, voltage-dependent, gamma subunit 7	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
170825	GSX2	GS homeobox 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
8929	PHOX2B	paired-like homeobox 2b	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
1103	CHAT	choline O-acetyltransferase	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
30012	TLX3	T-cell leukemia homeobox 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
27023	FOXB1	forkhead box B1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
84504	NKX6-2	NK6 homeobox 2	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
7143	TNR	tenascin R (restrictin, janusin)	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
378807	CATSPER4	cation channel, sperm associated 4	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
340784	HMX3	H6 family homeobox 3	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
431707	LHX8	LIM homeobox 8	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
353134	LCE1D	late cornified envelope 1D	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
54729	NKX1-1	NK1 homeobox 1	GO_SYSTEM_PROCESS			GO_NEUROLOGICAL_SYSTEM_PROCESS						
